otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
FOtu0184,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Didymosphaeriaceae_unclassified,Didymosphaeriaceae_unclassified
FOtu0187,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,Tilletia
FOtu0188,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,Knufia
FOtu0189,Fungi,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
FOtu0190,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unclassified_Pleosporales,unclassified_Pleosporales,unclassified_Pleosporales
FOtu0191,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0192,Fungi,Ascomycota,Dothideomycetes,Dothideales,unclassified_Dothideales,unclassified_Dothideales,unclassified_Dothideales
FOtu0195,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unclassified,Dothideomycetes_unclassified,Dothideomycetes_unclassified,Dothideomycetes_unclassified
FOtu0196,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0199,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0200,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces
FOtu0201,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiaceae_unclassified,Leucosporidiaceae_unclassified
FOtu0203,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Rhizoplaca,Rhizoplaca
FOtu0207,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Herpotrichia
FOtu0208,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Dematiopleospora,Dematiopleospora
FOtu0209,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0212,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces
FOtu0213,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicoma,Helicoma
FOtu0214,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unclassified,Dothideomycetes_unclassified,Dothideomycetes_unclassified,Dothideomycetes_unclassified
FOtu0215,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Physcia,Physcia
FOtu0223,Fungi,Basidiomycota,Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes,unclassified_Microbotryomycetes
FOtu0224,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hyponectriaceae,Physalospora,Physalospora
FOtu0225,Fungi,Ascomycota,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,Lophium,Lophium
FOtu0227,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified
FOtu0231,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Neocamarosporium,Neocamarosporium
FOtu0233,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unclassified,Phaeosphaeriaceae_unclassified
