OTU,family,genus,species
B.Otu0108,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
F.Otu0156,unclassified_Chaetothyriales,unclassified,unclassified_Chaetothyriales
A.Otu0071,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
F.Otu0033,Dothideaceae,Endoconidioma,Endoconidioma
F.Otu0178,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0202,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0222,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0226,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0057,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces
F.Otu0138,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0074,Chlorococcaceae,Chlorococcum,Chlorococcum_vacuolatum
F.Otu0184,Didymosphaeriaceae,Didymosphaeriaceae,Didymosphaeriaceae_unclassified
F.Otu0037,unclassified_Capnodiales,unclassified,unclassified_Capnodiales
B.Otu0081,Acidobacteriaceae_,Granulicella,Granulicella
F.Otu0132,Sordariaceae,Neurospora,Neurospora
F.Otu0243,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0079,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
A.Otu0080,Chlamydomonadaceae,Chloromonas,Chloromonas_sp
B.Otu0107,Burkholderiaceae,Polaromonas,Polaromonas
F.Otu0245,unclassified_Chaetothyriales,unclassified,unclassified_Chaetothyriales
B.Otu0116,Sphingobacteriaceae,Solitalea,Solitalea
F.Otu0249,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0237,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
A.Otu0081,Chlorosarcinopsis_unclassified,Chlorosarcinopsis,Chlorosarcinopsis_sp
F.Otu0257,Eurotiomycetes_unclassified,Eurotiomycetes,Eurotiomycetes_unclassified
F.Otu0084,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0086,Flavobacteriaceae,Flavobacterium,Flavobacterium
F.Otu0199,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0265,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0253,Sarcosomataceae,Donadinia,Donadinia
A.Otu0084,Chlamydomonadaceae,Chloromonas,Chloromonas_pichinchae
F.Otu0209,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0065,Sporormiaceae,Sporormiella,Sporormiella
B.Otu0048,Acetobacteraceae,Acidiphilium,Acidiphilium
A.Otu0085,Chlamydomonadales_incertae_sedis,Tetracystis,Tetracystis_excentrica
F.Otu0235,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0069,Pleosporaceae,Alternaria,Alternaria
F.Otu0180,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
B.Otu0040,Acetobacteraceae,Endobacter,Endobacter
F.Otu0281,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0062,Sphingomonadaceae,Rhizorhapis,Rhizorhapis
B.Otu0155,Solimonadaceae,uncultured,uncultured
B.Otu0099,uncultured,uncultured_ge,uncultured_ge
